flareClass,TOTUSJH,TOTBSQ,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,TOTFZ,MEANPOT,R_VALUE,EPSZ,SHRGT45
M,6547.54,107230000000.0,1.313586e+24,119292800000000.0,1458.775,53555220000000.0,9.626389e+22,3162.236572,-17662.0,6895.131,4.944,-0.3124,17.895
N/A,174.217,0.0,4.26989e+22,3178818000000.0,37.815,2031875000000.0,5.199596e+21,199.853134,0.0,4241.65,5.051,0.0,19.657
M,2577.349,38705000000.0,6.3469e+23,50155910000000.0,862.16,34159810000000.0,2.749776e+22,1121.811768,-2472.3,11533.5,4.864,-0.1212,48.242
M,2829.139,55794000000.0,8.016188e+23,49495070000000.0,737.806,32305330000000.0,3.022819e+22,2942.576172,-3528.3,15447.83,4.687,-0.12,44.111
X,2750.827,49079000000.0,3.561163e+23,58303980000000.0,557.416,28461270000000.0,3.501732e+22,2803.804932,-4481.1,4610.098,4.327,-0.1732,21.781
N/A,12.38,0.0,1.767941e+21,377896800000.0,2.474,533761100000.0,4.72538e+20,354.303467,0.0,1571.708,4.778,0.0,21.606
N/A,3558.685,90348000000.0,8.88402e+23,79210500000000.0,136.123,6271731000000.0,6.978108e+22,2373.658691,-11426.0,6198.333,4.361,-0.2399,22.108
C,4208.733,71512000000.0,1.100051e+24,75131330000000.0,113.44,5965345000000.0,5.23115e+22,1802.004395,-7603.0,11721.51,4.909,-0.2017,37.364
M,2860.797,55891000000.0,8.110312e+23,49950940000000.0,731.235,30430290000000.0,3.074852e+22,2939.433105,-3734.0,15479.47,4.668,-0.1267,43.455
M,1353.716,23229000000.0,3.500633e+23,29109370000000.0,59.089,2386865000000.0,1.798178e+22,905.408203,-2113.1,9244.989,3.995,-0.1726,44.129
M,4694.4,66237000000.0,1.159186e+24,85464430000000.0,895.421,41268710000000.0,4.436128e+22,2347.317627,-3322.5,12655.71,4.952,-0.0951,50.15
N/A,1083.847,0.0,2.342279e+23,15500150000000.0,75.225,3612483000000.0,1.545071e+22,570.498108,0.0,8804.002,4.057,0.0,29.022
N/A,164.126,3097700000.0,2.071026e+22,3595228000000.0,4.962,1162221000000.0,2.517723e+21,183.690048,-345.71,3851.457,2.723,-0.2117,15.485
N/A,307.178,12210000000.0,1.917471e+22,7455444000000.0,45.21,3541334000000.0,7.670023e+21,181.481644,-3030.7,1061.25,0.0,-0.4708,0.831
M,2298.752,0.0,3.823321e+23,37609410000000.0,85.324,2981399000000.0,4.919749e+22,2123.40625,0.0,4602.943,4.681,0.0,10.287
X,1583.266,0.0,2.217477e+23,29977910000000.0,394.163,10682270000000.0,2.886155e+22,532.647583,0.0,3688.953,4.173,0.0,12.502
M,3411.814,41271000000.0,5.167101e+23,66850050000000.0,925.958,39942340000000.0,3.019356e+22,1761.903564,-2238.2,7553.991,4.775,-0.1029,36.207
N/A,734.23,16001000000.0,2.037204e+23,16143780000000.0,91.646,4153433000000.0,1.248543e+22,442.300598,-1865.0,7918.992,3.637,-0.2211,32.735
M,6573.728,107190000000.0,1.316384e+24,119746700000000.0,1466.371,52258970000000.0,9.589422e+22,3152.920898,-17591.0,6935.052,4.919,-0.3113,18.114
N/A,159.936,6215300000.0,5.742737e+22,2506057000000.0,20.384,454432500000.0,3.373944e+21,118.322884,-624.39,8306.198,3.673,-0.1906,39.358
N/A,109.516,1867700000.0,6.872631e+21,2004862000000.0,29.037,1273680000000.0,1.274601e+21,62.631702,-74.314,2788.255,0.0,-0.0755,5.657
N/A,999.328,0.0,2.796583e+23,14235300000000.0,112.3,6590040000000.0,1.595479e+22,628.568359,0.0,9767.57,3.967,0.0,35.66
M,659.66,0.0,2.379045e+23,10508300000000.0,127.341,4123568000000.0,1.119579e+22,734.450562,0.0,10707.01,4.939,0.0,31.516
